Country,Demonym
Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
Andorra,Andorran
Angola,Angolan
Antigua and Barbuda,Antiguan
Argentina,Argentine
Armenia,Armenian
Australia,Australian
Austria,Austrian
Azerbaijan,Azerbaijani
The Bahamas,Bahamian
Bahrain,Bahraini
Bangladesh,Bengali
Barbados,Barbadian
Belarus,Belarusian
Belgium,Belgian
Belize,Belizean
Benin,Beninese
Bhutan,Bhutanese
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian
Botswana,Botswanan
Brazil,Brazilian
Brunei,Bruneian
Bulgaria,Bulgarian
Burkina Faso,Burkinabé
Burma,Burmese
Burundi,Burundian
Cabo Verde,Cabo Verdean
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
"China, People's Republic of",Chinese
Colombia,Colombian
Comoros,Comoran
"Congo, Democratic Republic of the",Congolese
"Congo, Republic of the",Congolese
Costa Rica,Costa Rican
Côte d'Ivoire,Ivorian
Croatia,Croatian
Cuba,Cuban
Cyprus,Cypriot
Czech Republic,Czech
Denmark,Danish
Djibouti,Djiboutian
Dominica,Dominican
Dominican Republic,Dominican
East Timor,Timorese
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadoran
Equatorial Guinea,Equatorial Guinean
Eritrea,Eritrean
Estonia,Estonian
Ethiopia,Ethiopian
Fiji,Fijian
Finland,Finnish
France,French
Gabon,Gabonese
"Gambia, The",Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Gibraltar,Gibraltar
Greece,Greek
Grenada,Grenadian
Guatemala,Guatemalan
Guinea,Guinean
Guinea-Bissau,Bissau-Guinean
Guyana,Guyanese
Haiti,Haitian
Honduras,Honduran
Hungary,Hungarian
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iraq,Iraqi
Ireland,Irish
Israel,Israeli
Italy,Italian
Ivory Coast,Ivorian
Jamaica,Jamaican
Japan,Japanese
Jordan,Jordanian
Kazakhstan,Kazakh
Kenya,Kenyan
Kiribati,I-Kiribati
North Korea,North Korean
South Korea,South Korean
Kuwait,Kuwaiti
Kyrgyzstan,Kirgiz
Laos,"Lao, Laotian"
Latvia,"Latvian, Lettish"
Lebanon,Lebanese
Lesotho,Basotho
Liberia,Liberian
Libya,Libyan
Liechtenstein,Liechtensteiner
Lithuania,Lithuanian
Luxembourg,Luxembourgish
"Macedonia, Republic of",Macedonian
Madagascar,Malagasy
Malawi,Malawian
Malaysia,Malaysian
Maldives,Maldivian
Mali,Malinese
Malta,Maltese
Marshall Islands,Marshallese
Martinique,Martinican
Mauritania,Mauritanian
Mauritius,Mauritian
Mexico,Mexican
"Micronesia, Federated States of",Micronesian
Moldova,Moldovan
Monaco,Monacan
Mongolia,Mongolian
Montenegro,Montenegrin
Morocco,Moroccan
Mozambique,Mozambican
Namibia,Namibian
Nauru,Nauruan
Nepal,Nepalese
Netherlands,Dutch
New Zealand,Zelanian
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
Northern Mariana Islands,Northern Marianan
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Palau,Palauan
Palestine,Palestinian
Panama,Panamanian
Papua New Guinea,Papuan
Paraguay,Paraguayan
Peru,Peruvian
Philippines,Filipino
Poland,Polish
Portugal,Portuguese
Puerto Rico,Puerto Rican
Qatar,Qatari
Romania,Romanian
Russia,Russian
Rwanda,Rwandan
Saint Kitts and Nevis,Kittitian
Saint Lucia,Saint Lucian
Saint Vincent and the Grenadines,Vincentian
Samoa,Samoan
San Marino,Sammarinese
São Tomé and Príncipe,São Toméan
Saudi Arabia,Saudi
Senegal,Senegalese
Serbia,Serbian
Seychelles,Seychellois
Sierra Leone,Sierra Leonean
Singapore,Singaporean
Slovakia,Slovak
Slovenia,Slovenian
Solomon Islands,Solomon Island
Somalia,Somali
South Africa,South African
South Sudan,South Sudanese
Spain,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Suriname,Surinamese
Swaziland,Swazi
Sweden,Swedish
Switzerland,Swiss
Syria,Syrian
Tajikistan,Tajikistani
Tanzania,Tanzanian
Thailand,Thai
Timor-Leste,Timorese
Togo,Togolese
Tokelau,Tokelauan
Tonga,Tongan
Trinidad and Tobago,Tobagonian
Tunisia,Tunisian
Turkey,Turkish
Turkmenistan,Turkmen
Tuvalu,Tuvaluan
Uganda,Ugandan
Ukraine,Ukrainian
United Arab Emirates,Emirian
United Kingdom,British
United States of America,American
Uruguay,Uruguayan
Uzbekistan,Uzbek
Vanuatu,Vanuatuan
Vatican City State,Vatican
Venezuela,Venezuelan
Vietnam,Vietnamese
Yemen,Yemeni
Zambia,Zambian
Zimbabwe,Zimbabwean